method,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,information_ratio,win_rate,monthly_win_rate,turnover,total_transaction_cost,constraint_violation_rate
equal_weight,0.0035385687611035888,0.18196840210507928,0.019446061624810062,0.03247226740997989,0.006615097686251498,-0.5349231302295022,0.8817971405399067,0.5333333333333333,0.5333333333333333,0.01111111111111111,0.0022499999999999994,0.0
multifactor_topk,-0.036011644407013765,0.1876070295984169,-0.19195253229102693,-0.3417212692388505,-0.060289542081814716,-0.5973116259225337,0.5026722608313361,0.4888888888888889,0.4888888888888889,0.8807407407407407,0.17835,0.0
sepa_stock_magician_topk,-0.01360497835657748,0.1873487799484904,-0.072618451853906,-0.12261474971749335,-0.024264102562724117,-0.5607039585085754,0.7020389228190576,0.5,0.5,0.9459259259259262,0.19154999999999997,0.0
vcp_topk,-0.04515963762549957,0.18285264153394157,-0.24697284789903856,-0.42403036535210253,-0.07564834037748819,-0.596967988988935,0.4290386544652848,0.4666666666666667,0.4666666666666667,0.9355555555555557,0.18944999999999998,0.0
fixed_multistrategy_fusion,-0.03700859255090716,0.18721618472217733,-0.19767838237824736,-0.3511916414151122,-0.061637371647111305,-0.6004245729813108,0.49625102133988025,0.4888888888888889,0.4888888888888889,0.8822222222222221,0.17865,0.0
llm_strategy_agent_mock,-0.04809933350432283,0.18770067081796535,-0.2562555226612387,-0.45480180160868444,-0.07838733784284772,-0.6136110094815721,0.41357347668351785,0.5,0.5,0.9088888888888889,0.18405,0.0
