method,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,information_ratio,win_rate,monthly_win_rate,turnover,total_transaction_cost,constraint_violation_rate
equal_weight,0.0035385687611033667,0.181968402105079,0.019446061624808872,0.032472267409977905,0.006615097686251084,-0.5349231302295021,0.8817971405399094,0.5333333333333333,0.5333333333333333,0.01111111111111111,0.0022499999999999994,0.0
multifactor_topk,-0.03601164440701354,0.18760702959841657,-0.19195253229102607,-0.3417212692388494,-0.06028954208181445,-0.5973116259225326,0.5026722608313379,0.4888888888888889,0.4888888888888889,0.8807407407407407,0.17835,0.0
sepa_stock_magician_topk,-0.013604978356577924,0.1873487799484899,-0.07261845185390857,-0.12261474971749753,-0.024264102562724918,-0.5607039585085751,0.702038922819058,0.5,0.5,0.9459259259259262,0.19154999999999997,0.0
vcp_topk,-0.045159637625499904,0.18285264153394143,-0.24697284789904056,-0.424030365352107,-0.07564834037748865,-0.5969679889889358,0.4290386544652846,0.4666666666666667,0.4666666666666667,0.9355555555555557,0.18944999999999998,0.0
fixed_multistrategy_fusion,-0.03700859255090716,0.18721618472217702,-0.19767838237824767,-0.3511916414151132,-0.06163737164711141,-0.6004245729813098,0.496251021339882,0.4888888888888889,0.4888888888888889,0.8822222222222221,0.17865,0.0
llm_strategy_agent_mock,-0.04809933350432283,0.18770067081796477,-0.2562555226612395,-0.45480180160868544,-0.07838733784284778,-0.6136110094815717,0.41357347668351824,0.5,0.5,0.9088888888888889,0.18405,0.0
